Title,Date Published,Author(s),URL,300-word Summary
Moldova: Background and U.S. Policy,8/28/25,Sarah E. Garding; Cory Welt,www.congress.gov/crs-report/R48664,"The Republic of Moldova is located in southeastern Europe near the Black Sea, between Romania and Ukraine. The current government of Moldova—like that of neighboring Ukraine—seeks greater integration with the West as it faces Russian political interference and territorial occupation. Moldova became an official candidate for European Union (EU) membership in 2022. In November 2024, Moldova’s incumbent president, Maia Sandu, was reelected on a pro-European platform despite allegedly substantial Russian election interference. Parliamentary elections, which could reinforce or weaken Moldova’s pro-European orientation, are scheduled for September 28, 2025. The outcome of the election also could have implications for U.S. strategic concerns in the Black Sea region. Following Russia’s full-scale invasion of Ukraine in 2022, the United States and the EU expanded support for Moldova’s efforts to implement domestic reforms, curtail Russian influence, bolster energy security, and alleviate the humanitarian and economic effects of the Russia-Ukraine war. Moldova’s leaders have consistently expressed support for Ukraine and warned that a Russian victory in Ukraine could expose Moldova to heightened Russian aggression. One particular vulnerability is Moldova’s unresolved territorial conflict: since gaining independence from the Soviet Union in 1991, Moldova has contended with the Russia-backed de facto secession of the Transnistria region, an area bordering Ukraine that hosts a Russian military contingent. The United States and Moldova generally have had good relations since Moldova’s independence. Some Members of Congress have expressed interest in the two countries’ relationship, as well as in Moldova’s stability, security, and strategic role in the Black Sea region. In the 119th Congress, some Members of Congress may seek to shape and conduct oversight of U.S. policy toward Moldova and to monitor regional developments that could have implications for U.S. national interests. Areas of focus may include alleged Russian efforts to interfere in Moldova’s upcoming parliamentary election; Moldova’s efforts to..."
Temporary Assistance for Needy Families (TANF) Block Grant: A Primer,8/26/25,Gene Falk,www.congress.gov/crs-report/R48413,"The Temporary Assistance for Needy Families (TANF) block grant provides federal grants to the 50 states, District of Columbia, and territories (collectively, “states”), as well as Indian tribes. TANF helps fund state-run programs of cash assistance for needy families with children, known historically as welfare programs. However, TANF is not a program focused solely on cash assistance, but a broad-purpose block grant that helps fund a wide range of benefits and services for both cash assistance and non-cash benefit families. These benefits and services include employment and training, child care assistance, short-term economic aid, state refundable tax credits, services for children at risk for removal from the home because of neglect or abuse, pre-kindergarten programs, and programs for youth. P.L. 119-4 funds TANF through the end of FY2025 (September 30, 2025). Uses of TANF Funds, FY2023 / Source: CRS, based on data from the U.S. Department of Health and Human Services (HHS). TANF was created in the Personal Responsibility and Work Opportunity Reconciliation Act of 1996 (PRWORA, P.L. 104-193), also known as the 1996 welfare reform law. That law ended the New Deal program that provided dedicated federal funds for cash assistance for needy families with children (Aid to Families with Dependent Children [AFDC]) and related programs. Though created nearly 30 years ago, TANF financing remains rooted in the amount of funding that was provided in the pre-PRWORA programs in the early to mid-1990s. TANF is funded by both federal and nonfederal dollars. Both the TANF basic block grant and the minimum amount of nonfederal dollars that must be spent are based on expenditures in the pre-PRWORA programs in the early to mid-1990s. In the mid-1990s, the number of families receiving cash assistance reached its historical peak (5.1 million in March 1994). TANF funding levels have not been adjusted for..."
U.S. Department of Transportation: Background on Modal Administrations,8/27/25,John Frittelli; Bart Elias; Ben Goldman; Ali E. Lohman; William J. Mallett; Jennifer J. Marshall; Naseeb A. Souweidane; Rachel Y. Tang,www.congress.gov/crs-report/R48651,"The Trump Administration’s initiatives with respect to the staffing, funding, or management of several federal agencies have raised questions about possible reorganization plans for the Department of Transportation (DOT). Possible efforts to reorganize DOT may require congressional action due to the extent the department’s organization is delineated in statute. For instance, for some modal administrations, certain duties and powers are to be carried out by that modal agency, while others are left to the Secretary of Transportation. As another example, the statute establishing the Federal Railroad Administration (FRA), Federal Motor Carrier Safety Administration (FMCSA), and the Pipeline and Hazardous Materials Safety Administration states that the powers or duties of these agencies within DOT may be transferred to another part of DOT or another federal government entity when specifically provided by law. In contrast, all duties and powers of the Maritime Administration (MARAD) are statutorily vested in the Secretary of Transportation. DOT was established in 1966 (P.L. 89-670) and began operations on April 1, 1967. Its creation consolidated stand-alone agencies (e.g., the Federal Aviation Agency and the Bureau of Public Roads) and moved certain functions from other agencies (e.g., transferred railroad safety from the Interstate Commerce Commission to a newly created FRA). Other agencies were transferred or created after 1967, such as MARAD, FMCSA, and the National Highway and Traffic Safety Administration. Reorganization efforts by former Administrations have sought to address a common observation about DOT—it is organized by transportation mode instead of by cross-modal functions, such as infrastructure planning and safety. In 1978, President Carter proposed to consolidate planning programs for highways and mass transit and sought to merge the Urban Mass Transportation Administration, Federal Highway Administration, and other related agencies into a single surface transportation agency. In the Reagan Administration, the Grace Commission recommended that the land-based modal administrations..."
Taiwan and the International Community,8/25/25,Susan V. Lawrence,www.congress.gov/crs-report/IF12646,"Introduction Taiwan, the self-governing Asian democracy that formally calls itself the Republic of China (ROC), has struggled to maintain “international space” for itself in the world. The People’s Republic of China (PRC) has never controlled Taiwan, but claims sovereignty over it and has vowed to “unify” with it, potentially by force. As part of its effort to pressure Taiwan to accept unification, the PRC has spent decades seeking to isolate Taiwan internationally. Congress and the executive branch have supported Taiwan’s efforts to maintain strong links to the international community. U.S. Policy The United States terminated diplomatic relations with the ROC on January 1, 1979, in order to establish diplomatic relations with the PRC. Following this diplomatic break, Congress passed the 1979 Taiwan Relations Act (TRA, P.L. 96-8; 22 U.S.C. §§3301 et seq.), which provides a legal basis for unofficial relations with Taiwan. Section 4(d) of the act states, “Nothing in this Act may be construed as a basis for supporting the exclusion or expulsion of Taiwan from continued membership in any international financial institution or any other international organization.” Since 1950, the U.S. government has considered Taiwan’s sovereignty status to be undetermined. Since 1994, U.S. policy has been to support Taiwan’s membership in international organizations for which statehood is not a requirement for membership, and to encourage “meaningful participation” for Taiwan in organizations in which its membership is not possible. The Taiwan Allies International Protection and Enhancement Initiative (TAIPEI) Act of 2019 (P.L. 116-135), as amended by the Taiwan Enhanced Resilience Act (TERA; Title LV, Subtitle A of the James M. Inhofe National Defense Authorization Act (NDAA) for FY2023, P.L. 117-263) states that it is U.S. policy to advocate “for Taiwan’s membership in all international organizations in which statehood is not a requirement and in which the United States is..."
Constitutional Considerations in Member Involvement in Executive Agency Actions,8/29/25,Jason O. Heflin,www.congress.gov/crs-report/LSB11356,"Members of Congress and their staffs interact with executive branch agencies for a number of purposes, including carrying out Congress’s functions of overseeing, investigating, and influencing the implementation of public policy by the executive branch and handling requests from constituents and other persons for assistance. Members’ interactions with agencies on behalf of constituents may be limited by statutory constraints and ethical considerations. Both the House and the Senate provide guidance to Members on these potential limitations. Apart from those considerations, however, constitutional principles also shape courts’ views of Members’ interaction with executive agencies. In some circumstances, a Member’s interaction with or attempt to influence an agency may not be otherwise prohibited but may nonetheless provide grounds on which to challenge that agency’s action or decision in federal court. Though the Supreme Court has not addressed this issue, lower federal courts have addressed situations involving Member attempts to influence the outcome of an agency action through various means—from letters, in-person discussion, and hearings regarding pending agency decisions to statements threatening to base certain funding decisions on the outcome of a decision that is pending with the agency. While affirming Congress’s legitimate oversight role, these judicial opinions suggest an outer bound on Member involvement in agency actions beyond which such intervention may render an agency action illegitimate. This Legal Sidebar begins with a brief discussion of two constitutional principles relevant to interaction between Members and executive branch agencies: the separation of powers and the guarantee of due process. It then reviews the ways in which courts faced with these questions have categorized different agency actions. It concludes with a discussion of selected federal judicial decisions relevant to Member involvement in different types of agency actions. For a discussion of principles governing communications during the agency rulemaking process, see CRS In Focus IF12368,..."
Government Shutdowns and Executive Branch Operations: Frequently Asked Questions (FAQ),9/2/25,Barbara L. Schwemle; Taylor N. Riccard; Clinton T. Brass,www.congress.gov/crs-report/R47693,"If conflict within Congress or between Congress and the President impedes the enactment of annual appropriations acts or an interim continuing resolution before the beginning of the fiscal year (October 1), a temporary funding gap may occur at the beginning of that fiscal year. A funding gap may also occur in the middle of a fiscal year if appropriations are not enacted before a continuing resolution expires. If a funding gap begins and funding does not appear likely to resume during the first calendar day of the gap, the federal government generally begins a “shutdown” of affected activities. The House and Senate Appropriations Committees have been organized in 12 subcommittees, with each subcommittee responsible for developing and managing the consideration of one regular appropriations act. It is possible for Congress to enact some of the 12 appropriations acts, and not others, before the beginning of a fiscal year or the expiration of a continuing resolution. This would lead to a partial government shutdown of the activities covered by appropriations acts that were not enacted in time. This CRS report is intended to address frequent questions related to government shutdowns and possible effects of shutdowns on executive agency operations and executive branch employees. The questions generally proceed chronologically through various processes that precede a shutdown, events that may occur during a shutdown, and events that occur in the wake of a shutdown. This report will be updated annually."
"Landslides: Federal Role in Research, Assessment, and Response",8/22/25,Linda R. Rowan,www.congress.gov/crs-report/R47588,"Landslide hazards may occur across the United States and its territories, and landslide risks may be increasing. A landslide is a movement of a mass of rock, debris, or soil down a slope. Mountainous, hilly, or cliff terrains (e.g., vertical shorelines, roadcuts, surface mining walls) are most susceptible to landslides. Landslides are most often triggered by rainfall, particularly rainfall on burned, steeply sloped terrain (e.g., a post-wildfire debris flow). Earthquakes or volcanic activity that cause ground motion also can trigger a landslide. Landslides may harm people and damage property; in addition, they may block roads, waterways, and water drainage systems, leading to further damage and economic losses. Landslide risks may increase in the near future due to increased development in hazardous regions and the potential for more frequent weather-related hazards (e.g., intense rainstorms, hurricanes, wildfires) that may trigger landslides. The U.S. Geological Survey’s (USGS’s) Landslide Hazards Program (LHP) is the only federal program dedicated to landslide hazard science and applications. Other federal agencies involved in landslide science and applications as components of larger programs include the National Science Foundation (NSF), National Oceanic and Atmospheric Administration (NOAA), National Aeronautics and Space Administration, federal land management agencies, U.S. Department of Transportation, and Federal Emergency Management Agency. The National Landslide Preparedness Act (NLPA; P.L. 116-323, 43 U.S.C. §§3101 et seq.) directed the Secretary of the Interior, acting through the Director of the USGS, to establish a National Landslide Hazards Reduction Program (NLHRP). NLHRP activities include identifying, mapping, assessing, and researching landslide hazards; responding to landslide events; and coordinating with state, local, territorial, and tribal entities to reduce landslide risks. In particular, the act required development of a national strategy for landslide risk reduction that includes goals and priorities for the NLHRP and an interagency plan that details programs, projects, and budgets to implement..."
The Great American Outdoors Act (GAOA): Frequently Asked Questions,9/2/25,Carol Hardy Vincent; Laura B. Comay,www.congress.gov/crs-report/IF12888,"What Is the Great American Outdoors Act (GAOA)? The Great American Outdoors Act (GAOA; P.L. 116-152) established in the U.S. Treasury a new fund—the National Parks and Public Land Legacy Restoration Fund (LRF)—with mandatory spending authority to address deferred maintenance (DM) needs of five federal agencies. These agencies are the Bureau of Indian Education (BIE), Bureau of Land Management (BLM), National Park Service (NPS), and U.S. Fish and Wildlife Service (FWS), all in the Department of the Interior (DOI), and the U.S. Forest Service (FS), in the Department of Agriculture. The GAOA also made changes to an existing fund—the Land and Water Conservation Fund (LWCF). The GAOA made $900.0 million in deposits to the LWCF available as mandatory spending. It also made other changes to the LWCF Act (54 U.S.C. §§200301 et seq.). Does the GAOA Expire? Under current law, the LRF (the new fund established in the GAOA) is to receive funding through FY2025. Provisions of the GAOA pertaining to the LWCF do not expire. What Funding Did the GAOA Provide the LRF? The GAOA provides for the LRF to receive up to $1.9 billion annually over five years (FY2021-FY2025). More specifically, the fund receives annual deposits equivalent to 50% of all federal energy development revenues (from oil, gas, coal, or renewable energy) credited in the preceding fiscal year as miscellaneous receipts to the Treasury, up to an annual $1.9 billion cap. For each of FY2021-FY2025, the maximum amount was deposited in the fund. Thus the five-year total to address DM across the five agencies (BIE, BLM, NPS, FWS, and FS) was $9.5 billion. How Is DM Defined? In a 2024 handbook, the Federal Accounting Standards Advisory Board defines deferred maintenance and repairs (DM&R) as “maintenance and repairs that were not performed when they should have been or were..."
HOME Program 2025 Final Rule: In Brief,4/25/25,Henry G. Watson,www.congress.gov/crs-report/R48422,"The HOME Investment Partnerships Program is a federal block grant program that provides funding to states and eligible localities to be used exclusively for affordable housing activities to benefit low-income households. On January 6, 2025, the U.S. Department of Housing and Urban Development (HUD) published in the Federal Register a final rule related to the HOME program: “HOME Investment Partnerships Program: Program Updates and Streamlining.” The final rule makes several significant changes to the implementation of the HOME program, and represents the first major regulatory update since 2013. Major provisions include tenancy addenda that create tenant protections for residents of HOME-assisted rental housing and recipients of HOME tenant-based rental assistance, changes to maximum per-unit subsidy limits, changes to periods of affordability, updated guidance and policy changes for HUD-assisted homebuyer housing, and several provisions intended to streamline participation in the HOME program. This report summarizes the major provisions of the final rule."
Enforcement of Congressional Rules of Conduct: A Historical Overview,8/28/25,Jacob R. Straus; Jacob R. Straus,www.congress.gov/crs-report/RL30764,"The Constitution vests Congress with broad authority to discipline its Members. Only since 1964, however, have the Senate and House of Representatives established formal rules of conduct and disciplinary procedures to address allegations of illegal or unethical conduct by Senators, Representatives, officers, and staff. These rules and procedures also provide a framework for addressing allegations through investigations and potential punishments. In 1964, the Senate established its first permanent ethics committee—the Select Committee on Standards and Conduct, which was renamed the Select Committee on Ethics in 1977. In 1967, the House first established a permanent ethics committee—the Committee on Standards of Official Conduct, which was renamed the Committee on Ethics in 2011. Previously, Congress had dealt case by case with allegations of misconduct, used ad hoc and select investigatory committees, and relied on election results as the ultimate arbiter in questions of wrongdoing. This report examines the creation of House and Senate codes of conduct, the formation and evolution of the House and Senate ethics committees, and the House and Senate ethics processes. For additional information, please refer to CRS Report 98-15, House Committee on Ethics: A Brief History of Its Evolution and Jurisdiction, by Jacob R. Straus; CRS Report RL30650, Senate Select Committee on Ethics: A Brief History of Its Evolution and Jurisdiction, by Jacob R. Straus; CRS Report R40760, House Office of Congressional Conduct: History, Authority, and Procedures, by Jacob R. Straus; and CRS Report R45078, Expulsion of Members of Congress: Legal Authority and Historical Practice, by Todd Garvey."
U.S. International Development Finance Corporation (DFC),8/29/25,Shayerah I. Akhtar; Nick M. Brown; Nick M. Brown; Shayerah I. Akhtar,www.congress.gov/crs-report/IF11436,"DFC, a federal agency, uses financial tools to promote private investment in less-developed countries. Its purpose, by statute, is to mobilize private capital to advance U.S. development and foreign policy interests, taking into account its projects’ economic and financial soundness (see text box). DFC’s seven-year authorization is to expire in October 2025, after which DFC would need legislative action to issue new financing. In the context of debate over reauthorization and potential reform, Congress may consider DFC funding, leadership and structure, and role in the changing foreign policy and trade policy landscape. DFC History and Authorizing Legislation Two distinct but overlapping rationales emerged in Congress to establish DFC. One sought to enhance U.S. development finance impact. A second focused on expanding U.S. policy tools to counter China and its “One Belt, One Road” initiative. Launched in late 2019, DFC is authorized by the Better Utilization of Investments Leading to Development Act of 2018 (BUILD Act, Div. F of P.L. 115-254, 22 U.S.C. §§9612 et seq.). This law replaced the Overseas Private Investment Corporation (OPIC) with DFC and transferred the Development Credit Authority (DCA) from the U.S. Agency for International Development (USAID) to DFC. It gave DFC new functions (e.g., equity), a larger financing cap ($60 billion), and a multiyear authorization. Overview Organization. The BUILD Act vests all DFC powers in a Board of Directors with presidentially appointed and Senate-confirmed members. The Board’s nine statutory positions are held by the Chief Executive Officer (CEO); the Secretaries of State, the Treasury, and Commerce; the USAID Administrator; and four nongovernment members (three-year terms, renewable once). The Secretary of State is Board Chair, and the USAID Administrator is Vice Chair. In addition, by statute, DFC operates under the Secretary of State’s general foreign policy guidance. The Board is to meet quarterly, and a quorum..."
Plastic Pollution and Policy Considerations: Frequently Asked Questions,3/7/25,Claire M. Jordan; Clare Y. Cho; Kristen Hite; Angela C. Jones; Omar M. Hammad; Jonathan D. Haskett; Eva Lipiec; Jerry H. Yen; Laura Gatz; Angela C. Jones,www.congress.gov/crs-report/R48293,"Global and domestic plastic production has increased substantially since the mid-20th century—doubling in the last two decades. The durability, moldability, and versatility of plastic have led to its ubiquitous use, benefiting many aspects of society, including the food, medical, technology, textile, and transportation industries, among others. As plastic production and use have grown, so have concerns about the impacts of plastic on the environment. These include concerns about increasing rates of plastic waste generation, insufficient management of plastic waste, and the plastic pollution that results when plastic waste enters, or “leaks,” into the environment, including land-based, freshwater, and marine ecosystems. Some are also concerned about the potential environmental and human health effects of the chemicals used to produce plastics and the air emissions generated across the plastic lifecycle. Plastic waste generation has increased alongside the rise in plastic production and use, more than doubling over the last two decades globally. Infrastructure for solid waste management and recycling has not kept pace with this growth. While some plastic is recycled, most plastic waste is landfilled or incinerated. Some plastic waste is also mismanaged (i.e., littered or improperly disposed). Mismanaged plastic is the main source of larger plastics (i.e., macroplastics) entering into the environment. Plastic waste enters the environment through a variety of pathways across the plastic lifecycle. Once in the environment, macroplastics may fragment into smaller pieces of plastic (i.e., microplastics, ranging in size from 5 millimeters down to a 5-millionfold-smaller 1 nanometer). Both macroplastics and microplastics pose risks to the environment, including land-based, freshwater, and marine ecosystems. Some of the impacts of concern include wildlife ingesting plastic or becoming entangled in plastic waste, which can lead to suffocation or starvation. Microplastics are also persistent and may accumulate in the environment—such as in deep ocean sediments, water columns of oceans and..."
Navigating the Appropriations Status Table,8/28/25,Justin Murray; Carol Wilson; Ben Leubsdorf; Ben Leubsdorf; Carol Wilson,www.congress.gov/crs-report/R47240,"The CRS Appropriations Status Table is an online tool for tracking legislation that provides annual funding for federal programs, projects, and activities. It displays the status of regular appropriations bills, continuing resolutions, supplemental appropriations measures, and budget resolutions. This report describes how to access and navigate information presented on the Appropriations Status Table. A companion video is available on CRS.gov."
"The Broadband Equity, Access, and Deployment (BEAD) Program: Issues for the 119th Congress",8/29/25,Ling Zhu,www.congress.gov/crs-report/R48666,"Under Section 60102 of the Infrastructure Investment and Jobs Act (IIJA; P.L. 117-58), enacted in late 2021, Congress directed the Assistant Secretary of Commerce for Communications and Information (“Assistant Secretary”) to establish and administer the Broadband Equity, Access, and Deployment (BEAD) Program. Specifically, Congress directed the Assistant Secretary, who leads the National Telecommunications and Information Administration (NTIA; an agency within the Department of Commerce), to make BEAD grants to 56 states and territories (hereinafter “states”) to “bridge the digital divide.” States are required to use these grants to competitively award subgrants to fund a variety of broadband projects in their jurisdictions, with a priority to provide “affordable, reliable, high-speed broadband” service to locations currently lacking such access. A broadband network built with BEAD funding must be capable of providing broadband service with (1) at least 100 megabits per second (Mbps) for downloads and 20 Mbps for uploads; (2) a low network latency enabling real-time, interactive applications; and (3) a low network outage rate (less than 48 hours over any 365-day period). In Division J of the IIJA, Congress appropriated $42.45 billion for the BEAD Program, which is the single largest federal investment in broadband infrastructure to date. To access the grant funds allocated to a state using a formula set by the IIJA, the state must submit and have the Assistant Secretary approve its grant documents, including initial and final proposals. In the initial proposal, the state must identify all broadband-serviceable locations in its jurisdiction that are eligible for BEAD funding. In the final proposal, the state must provide a detailed plan that specifies how the state will allocate its BEAD funding for broadband deployment in those locations. As of August 2025, all states have continued to complete final program requirements, and no BEAD funding has been distributed for any..."
Stanley v. City of Sanford: Supreme Court Rejects Retiree’s Americans with Disabilities Act Claim,8/29/25,April J. Anderson,www.congress.gov/crs-report/LSB11355,"On June 20, 2025, the Supreme Court issued its opinion in Stanley v. City of Sanford. The Court held that a retired firefighter could not pursue a claim, under the Americans with Disabilities Act (ADA), that her employer discriminated against her with respect to her retirement benefits. In reaching this conclusion, the Court determined that the ADA generally applies only to job applicants and employees, not retirees who neither hold nor desire a job. The decision resolved a division between circuit courts on how to apply the ADA. The Court’s ruling separates ADA claims from several other types of employment claims, as retirees may bring claims under Title VII of the Civil Rights Act of 1964, which bars employment discrimination based on race, sex, and religion. Background The plaintiff in Stanley developed Parkinson’s disease and retired after 19 years of working as a firefighter for the City of Sanford. If she had been able to work for 25 years, as she had planned, she would have received medical benefits until the age of 65. City employees on disability retirement, as the plaintiff found herself, got two years of medical benefits. She sued, alleging disability discrimination. The district court concluded that her suit could not go forward, citing circuit precedent barring retirees’ ADA claims. In the district court’s view, the plaintiff faced the alleged harm—reduced health care benefits—only after she left a job. The U.S. Court of Appeals for the Eleventh Circuit (federal appeals courts are hereinafter referenced by their number or jurisdiction alone) affirmed, but it acknowledged a circuit split: the Sixth, Seventh, and Ninth Circuits also would bar a nonemployee from claiming discrimination; the Second and Third Circuits would allow a retiree to sue. The Supreme Court granted certiorari to resolve the split. The Court’s Decision in Stanley The..."
"Points of Order, Rulings, and Appeals in the Senate",8/29/25,Valerie Heitshusen; Valerie Heitshusen,www.congress.gov/crs-report/98-306,"The Senate’s presiding officer typically does not have responsibility for proactively ensuring that Senate consideration of matters complies with the chamber’s rules of procedure. Instead, Senators may enforce the Senate’s rules and precedents by raising points of order whenever they believe that one of those rules or precedents is, or is about to be, violated. In most cases, the presiding officer issues a ruling, based on Senate rules and precedents, on whether or not the point of order is well taken. A Senator may appeal such a ruling, in which case the Senate takes action in relation to the appeal—action by which the body either affirms or overturns the chair’s ruling. In certain specific procedural circumstances, the Senate instead takes action to directly decide (or otherwise dispose of) the point of order itself. Through its action on an appeal, or directly on certain points of order, the Senate affirms existing precedent or establishes new precedent."
"An Overview of Medical Debt: Collection, Credit Reporting, and Related Policy Issues",8/29/25,Karl E. Schneider,www.congress.gov/crs-report/IF12169,"Medical debt is a fairly common occurrence for Americans who have received medical care. This In Focus discusses medical debt; how that debt is collected and reported to credit reporting agencies (also called credit bureaus); and proposals to change those practices from industry, some Members of Congress, and the Consumer Financial Protection Bureau (CFPB). Medical Debt Overview According to the CFPB, consumers owed $88 billion in medical debt on consumer credit reports as of June 2021. In 2017, a Census Bureau survey found that 19% of people reported having medical bills they could not fully repay during the year. Uninsured, Black, and Hispanic Americans are more likely to have medical debt. Unlike most consumer debts, the need for medical care for an acute illness can often be unexpected and not discretionary. According to a 2014 CFPB study, consumers are unlikely to know how much various medical services cost in advance, particularly those associated with accidents and emergencies. Moreover, resolving billing disputes with health insurance companies can be a complicated, lengthy, and often non-transparent process. Whether these debts should be included on credit reports is an area of active debate and action from industry, regulators, and Congress. In 2022, the three major credit bureaus took voluntary action to eliminate an estimated 70% of outstanding medical debt from credit reports. In June 2024, the CFPB finalized a rule to eliminate all medical debt from most credit reports and ban lenders from using medical debt collection information to make underwriting decisions. However, in July 2025, a judge overturned this rule, as discussed in more detail below. Debt Collection Market Background When consumers default on medical debts, medical providers often hire third parties to collect those debts. Debt collectors help medical providers recoup their losses when patients default. IBISWorld, a market research company, estimates..."
"Staff Pay, Selected Positions in House Member and Committee Offices, 2024",7/29/25,R. Eric Petersen,www.congress.gov/crs-report/IF13073,"Levels of pay for congressional staff are a source of recurring questions among Members of Congress, congressional staff, and the public. There may be interest in congressional pay data for multiple reasons, including assessment of the costs of congressional operations, guidance in setting pay levels for staff in Member offices, or comparison of congressional staff pay levels with those of other federal government pay systems. This In Focus provides 2024 pay data, provided in constant, 2025 dollars, for 17 staff position titles that are typically used in House Members’ offices (see Table 1) and 13 staff position titles that are used in House committees (see Table 2). Table 1. 2024 Median Pay, Selected Positions in House Member Offices, and Change, 2023-2024, Constant, 2025 Dollars Median 2024, 2025$ Change 2023-2024 Caseworker $68,907 2.59% Chief of Staff $192,456 0.29% Communications Director $103,106 -6.57% Constituent Services Director $89,324 -10.30% Constituent Services Rep. $63,590 -3.66% Deputy Chief of Staff $138,717 3.32% District Deputy Director $91,519 -1.79% District Director $122,085 -1.08% Field Representative $66,866 -2.49% Legislative Assistant $78,605 6.16% Legislative Correspondent $66,866 0.60% Legislative Director $120,715 3.95% Operations Director $94,281 -5.32% Press Secretary $78,605 5.47% Scheduler $75,032 -5.22% Senior Legislative Assistant $86,466 -6.51% Staff Assistant $58,920 -0.72% Source: Statement of Disbursements of the House, as collated by LegiStorm, and CRS calculations. Data and change, 2023-2024, based on 2025 dollars per the Consumer Price Index for All Urban Consumers (CPI-U), Half1, 2025. Data were collected in the manner described in CRS Report R44322, House Committee Staff Pay, Selected Positions, 2001-2023, and CRS Report R44323, Staff Pay, Selected Positions in House Member Offices, 2001-2023. Table 2. 2024 Median Pay, Selected Positions in House Committees, and Change, 2023-2024, Constant, 2025 Dollars Median 2024, 2025$ Change 2023-2024 Chief Counsel $194,982 1.14% Communications Director $168,440 -4.31% Counsel $147,428 7.02% Deputy..."
"Staff Pay, Selected Positions in Senators’ and Senate Committee Offices, FY2024",7/22/25,R. Eric Petersen; Jane M. Wright,www.congress.gov/crs-report/IF13074,"Levels of pay for congressional staff are a source of recurring questions among Members of Congress, congressional staff, and the public. There may be interest in congressional pay data for multiple reasons, including assessment of the costs of congressional operations, guidance in setting pay levels for staff in Member offices, or comparison of congressional staff pay levels with those of other federal government pay systems. This In Focus provides fiscal year 2024 pay data, provided in constant, 2025 dollars, for 24 staff position titles that are typically used in Senate Members’ offices, see Table 1, and 15 staff position titles that are used in Senate committees, see Table 2. Table 1. FY24 Median Pay, Selected Positions in Senators’ Offices, and Change, FY2023-FY2024, Constant, 2025 Dollars Median FY2024, 2025$ Change FY2023-FY2024 Administrative Director $153,942 -1.71% Caseworker $66,289 0.16% Chief of Staff $219,928 6.23% Communications Director $158,231 0.69% Constituent Services Director $102,936 3.12% Constituent Services Rep. $63,596 2.25% Deputy Chief of Staff $183,264 -3.58% Deputy Press Secretary $67,541 -0.73% Digital Director $88,801 14.97% Executive Assistant $72,770 -- Field Representative $70,954 -0.25% Legislative Aide $72,101 3.04% Legislative Assistant $89,860 0.59% Legislative Correspondent $60,195 -0.48% Legislative Director $167,164 -3.60% Press Assistant $61,353 1.33% Press Secretary $90,677 0.38% Regional Director $93,875 13.45% Regional Representative $72,164 3.99% Scheduler $94,939 1.85% Scheduling Director $122,808 -0.27% Speechwriter $93,996 1.64% Staff Assistant $55,891 -1.13% State Director $171,476 4.33% Source: Report of the Secretary of the Senate, as collated by LegiStorm, and CRS calculations. Data and change, 2023-2024, based on 2025 dollars per the Consumer Price Index for All Urban Consumers (CPI-U), Half1, 2025. “—” indicates pay data are unavailable for FY2023. Data were collected in the manner described in CRS Report R44324, Staff Pay, Selected Positions in Senators’ Offices, FY2001-FY2023, and CRS Report R44325, Senate Committee Staff Pay, Selected..."
"Tax Provisions in P.L. 119-21, the FY2025 Reconciliation Law",7/29/25,Nicholas E. Buffie; Grant A. Driessen; Jane G. Gravelle; Mark P. Keightley; Donald J. Marples; Brendan McDermott; Anthony A. Cilluffo,www.congress.gov/crs-report/R48611,"P.L. 119-21 (H.R. 1 in the 119th Congress, also referred to as the FY2025 reconciliation act or the One Big Beautiful Bill Act) was enacted into law on July 4, 2025. It was developed and considered as part of the budget reconciliation process triggered by the adoption of H.Con.Res. 14, the Concurrent Resolution on the Budget for FY2025. Subtitles A and C of Title VII of the law contain tax provisions. Many of the tax provisions are modifications or extensions of provisions of P.L. 115-97, commonly known as the Tax Cuts and Jobs Act or TCJA. Several provisions in the TCJA were set to expire at the end of 2025, or have changed within the past several years. These provisions include changes such as modified individual income tax rates, a higher standard deduction and child tax credit, suspension of personal exemptions, a deduction for pass-through business income, bonus depreciation for business investments, changes to how business research costs are recovered, and changes to the limitation on deducting interest on indebtedness by certain businesses. This report provides a section-by-section summary of the tax provisions in P.L. 119-21. Specifically, a set of tables describes each provision in the law, by subtitle and chapter, and provides references to related CRS products."
